icao,n_gt_dep,n_detected_dep,detection_pct_dep,n_capture_excluded_dep,measured_pct_dep,taxi_out_median_s,off_s_p10,off_s_p25,off_s_p50,off_s_p75,off_s_p90,dep_capture_p10,dep_capture_p25,dep_capture_p50,dep_capture_p75,dep_capture_p90,off_abs_p50,off_abs_p90,dep_no_ground_pct,dep_full_capture_pct,clean_pct_dep,fragmented_pct_dep,merged_pct_dep,n_gt_arr,n_detected_arr,detection_pct_arr,n_capture_excluded_arr,measured_pct_arr,taxi_in_median_s,land_s_p10,land_s_p25,land_s_p50,land_s_p75,land_s_p90,arr_capture_p10,arr_capture_p25,arr_capture_p50,arr_capture_p75,arr_capture_p90,land_abs_p50,land_abs_p90,arr_no_ground_pct,arr_full_capture_pct,clean_pct_arr,fragmented_pct_arr,merged_pct_arr,measured_pct,t_source,n_gt,detection_pct,coverage_index,name,lat,lon
LPSJ,6.0,6.0,100.0,0.0,0.0,600.0,1671.5,1760.25,1906.5,1944.0,1959.0,,,,,,1906.5,1959.0,100.0,,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,nm_inferred,6.0,50.0,,,,
LPVR,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,0.0,0.0,,101.0,101.0,101.0,101.0,101.0,,,,,,101.0,101.0,0.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Vila Real Airport,41.2743,-7.72047
LPVZ,6.0,6.0,100.0,0.0,0.0,600.0,-1405.5,-1259.25,-1153.5,-738.0,-341.0,,,,,,1153.5,1405.5,0.0,,50.0,0.0,50.0,5.0,5.0,100.0,0.0,0.0,,293.20000000000005,559.0,641.0,1363.0,1372.0,,,,,,641.0,1372.0,0.0,,60.0,0.0,40.0,0.0,nm_inferred,6.0,100.0,,Aerodromo Goncalves Lobato (Viseu Airport),40.725498,-7.88899
LQBK,17.0,17.0,100.0,0.0,0.0,300.0,186.8,199.0,229.0,255.0,280.2,,,,,,229.0,280.2,100.0,,100.0,0.0,0.0,17.0,17.0,100.0,0.0,0.0,,-378.79999999999995,-112.0,-41.0,-31.0,-23.6,,,,,,41.0,378.8000000000001,100.0,,100.0,0.0,0.0,0.0,nm_inferred,17.0,100.0,,Banja Luka International Airport,44.941399,17.297501
LQMO,10.0,9.0,90.0,0.0,0.0,300.0,634.6,759.0,984.0,1334.0,1619.0,,,,,,984.0,1619.0,100.0,,90.0,0.0,0.0,9.0,8.0,88.88888888888889,0.0,0.0,,-1536.1,-1504.75,-1132.5,-963.75,-850.8000000000001,,,,,,1132.5,1536.1,100.0,,88.88888888888889,0.0,0.0,0.0,nm_inferred,10.0,89.44444444444444,,Mostar International Airport,43.282489,17.846101
LQSA,93.0,92.0,98.9247311827957,0.0,0.0,600.0,254.0,269.0,294.0,359.0,443.5,,,,,,294.0,443.5,100.0,,84.94623655913979,13.978494623655914,0.0,93.0,92.0,98.9247311827957,0.0,0.0,,-654.4,-410.25,-324.5,-206.75,-142.49999999999997,,,,,,324.5,654.4000000000001,100.0,,81.72043010752688,17.204301075268816,0.0,0.0,nm_inferred,93.0,98.9247311827957,,Sarajevo International Airport,43.8246,18.331499
LQTZ,8.0,8.0,100.0,0.0,0.0,600.0,18.0,27.75,36.5,107.75,165.5,,,,,,36.5,165.5,100.0,,100.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,,-398.0,-233.0,-197.5,-157.0,-50.50000000000003,,,,,,197.5,397.99999999999994,87.5,,100.0,0.0,0.0,0.0,nm_inferred,8.0,100.0,,Tuzla International Airport,44.459858,18.723627
LRAR,1.0,1.0,100.0,0.0,0.0,180.0,194.0,194.0,194.0,194.0,194.0,,,,,,194.0,194.0,100.0,,100.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,-790.0,-790.0,-790.0,-790.0,-790.0,,,,,,790.0,790.0,100.0,,100.0,0.0,0.0,0.0,nm_inferred,1.0,100.0,,Arad International Airport,46.176136,21.264322
LRBC,19.0,19.0,100.0,0.0,0.0,600.0,118.0,143.5,164.0,201.5,216.0,,,,,,164.0,216.0,100.0,,94.73684210526316,5.2631578947368425,0.0,19.0,18.0,94.73684210526316,0.0,0.0,,-401.4,-291.75,-255.0,-209.75,-132.89999999999998,,,,,,255.0,401.4000000000001,94.44444444444444,,94.73684210526316,0.0,0.0,0.0,nm_inferred,19.0,97.36842105263159,,Bacău George Enescu International  Airport,46.5219,26.910299
LRBM,3.0,3.0,100.0,0.0,0.0,360.0,449.0,479.0,529.0,731.5,853.0,,,,,,529.0,853.0,100.0,,100.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,,-853.6,-688.0,-503.5,-345.25,-226.89999999999995,,,,,,503.5,853.6,100.0,,75.0,25.0,0.0,0.0,nm_inferred,4.0,100.0,,Maramureș International Airport,47.658444,23.464445
